Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2014-221160,7645097553,07/07/2014 10:00:00 PM,07/08/2014 05:30:00 AM,07/08/2014 05:55:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,C,C2,CENTRAL AREA/SQUIRE PARK,24TH AVE E / E MERCER ST,-122.301154201,47.62438658
2014-221141,7682944057,07/07/2014 10:00:00 PM,07/08/2014 05:00:00 AM,07/08/2014 05:12:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R2,MOUNT BAKER,32XX BLOCK OF S MOUNT BAKER BLVD,-122.291543377,47.57607983
2014-219702,7670188829,07/06/2014 02:00:00 PM,,07/07/2014 05:18:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F3,HIGHLAND PARK,88XX BLOCK OF 12TH AVE SW,-122.350590017,47.52375479
2014-905858,7693036814,07/05/2014 09:00:00 PM,07/06/2014 04:55:00 AM,07/06/2014 05:04:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,FIRST HILL,PIKE ST / BOREN AVE,-122.3289131,47.61346582
2014-217312,7663720937,07/05/2014 05:25:00 AM,,07/05/2014 05:25:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,W,W2,ALASKA JUNCTION,45XX BLOCK OF 42ND AVE SW,-122.38545658,47.56197325
2014-215638,7699806693,07/04/2014 04:40:00 AM,,07/04/2014 05:52:00 AM,A,PROPERTY,ROBBERY,Robbery,120,E,G,G2,CENTRAL AREA/SQUIRE PARK,22XX BLOCK OF E CHERRY ST,-122.303245744,47.60801003
2014-215663,7639207071,07/04/2014 05:34:00 AM,,07/04/2014 05:34:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,PIONEER SQUARE,3XX BLOCK OF 2ND AVE EXT S,-122.330807495,47.60046424
2014-215655,7699162549,07/04/2014 05:24:00 AM,,07/04/2014 05:24:00 AM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,O,O1,SODO,17XX BLOCK OF 1ST AVE S,-122.334197241,47.58716618
2014-215650,7683011447,07/04/2014 05:18:00 AM,,07/04/2014 05:18:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,M,M2,DOWNTOWN COMMERCIAL,7XX BLOCK OF UNION ST,-122.332141971,47.61076193
2014-215588,7664675848,07/03/2014 09:00:00 PM,07/03/2014 11:00:00 PM,07/04/2014 05:11:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D2,QUEEN ANNE,17XX BLOCK OF DEXTER AVE N,-122.342285177,47.63498835
